rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,1,5,4,41474366,regional-global-weekly-2023-01-05.csv
2,spotify:track:3nqQXoyQOWXiESFLlDF1hG,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),Capitol Records UK / EMI,1,11,15,33132175,regional-global-weekly-2023-01-05.csv
3,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,15,40,30998084,regional-global-weekly-2023-01-05.csv
4,spotify:track:4uUG5RXrOk84mYEfFvj3cK,"David Guetta, Bebe Rexha",I'm Good (Blue),Parlophone UK,2,20,19,30704256,regional-global-weekly-2023-01-05.csv
5,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,3,13,5,28092232,regional-global-weekly-2023-01-05.csv
6,spotify:track:5ww2BF9slyYgNOk37BlC4u,Manuel Turizo,La Bachata,Sony Music Latin/La Industria,4,16,27,27357095,regional-global-weekly-2023-01-05.csv
7,spotify:track:0V3wPSX9ygBnCm8psDIegu,Taylor Swift,Anti-Hero,Taylor Swift,1,23,11,25446860,regional-global-weekly-2023-01-05.csv
8,spotify:track:2tTmW7RDtMQtBk7m2rYeSw,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52/66",DALE PLAY Records,1,21,26,24450866,regional-global-weekly-2023-01-05.csv
9,spotify:track:2mnXxnrX5vCGolNkaFvVeM,"Arcángel, Bad Bunny",La Jumpa,Rimas Entertainment LLC.,9,19,5,23899303,regional-global-weekly-2023-01-05.csv
10,spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx,"Bad Bunny, Chencho Corleone",Me Porto Bonito,Rimas Entertainment LLC,2,30,35,20585192,regional-global-weekly-2023-01-05.csv
11,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,"Stephen Sanchez, Em Beihold",Until I Found You (with Em Beihold) - Em Beihold Version,Republic Records,11,40,5,20156207,regional-global-weekly-2023-01-05.csv
12,spotify:track:0QHEIqNKsMoOY5urbzN48u,Meghan Trainor,Made You Look,Epic,8,36,11,20067258,regional-global-weekly-2023-01-05.csv
13,spotify:track:0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,13,39,19,19945085,regional-global-weekly-2023-01-05.csv
14,spotify:track:1bDbXMyjaUIooNwFE9wn0N,"Drake, 21 Savage",Rich Flex,OVO / Republic Records,2,35,9,19785643,regional-global-weekly-2023-01-05.csv
15,spotify:track:4h9wh7iOZ0GGn8QVp4RAOB,OneRepublic,I Ain't Worried,Interscope Records,7,46,31,19542237,regional-global-weekly-2023-01-05.csv
16,spotify:track:1zsPaEkglFvxjAhrM8yhpr,"Ozuna, Feid",Hey Mor,Aura Music Corp.,14,34,12,19322335,regional-global-weekly-2023-01-05.csv
17,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,Rimas Entertainment LLC,4,38,35,19250774,regional-global-weekly-2023-01-05.csv
18,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,15,41,91,18813633,regional-global-weekly-2023-01-05.csv
19,spotify:track:5WxVXxCMRnvxUKFq40ELwq,"RAYE, 070 Shake",Escapism.,Human Re Sources,19,51,6,18656083,regional-global-weekly-2023-01-05.csv
20,spotify:track:5odlY52u43F5BjByhxg7wg,JVKE,golden hour,JVKE,20,43,19,18479935,regional-global-weekly-2023-01-05.csv
21,spotify:track:3r8RuvgbX9s7ammBn07D3W,NewJeans,Ditto,ADOR,21,48,3,18012606,regional-global-weekly-2023-01-05.csv
22,spotify:track:3zkyus0njMCL6phZmNNEeN,Central Cee,LET GO,Central Cee,19,37,3,17902620,regional-global-weekly-2023-01-05.csv
23,spotify:track:2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,The Weeknd/Lyric,23,49,47,17610459,regional-global-weekly-2023-01-05.csv
24,spotify:track:73vIOb4Q7YN6HeJTbscRx5,"Oliver Tree, Robin Schulz",Miss You - Bonus Track,Atlantic Records,11,52,13,17415559,regional-global-weekly-2023-01-05.csv
25,spotify:track:54ELExv56KCAB4UP9cOCzC,"Ñengo Flow, Bad Bunny",Gato de Noche,Rimas Entertainment LLC,25,27,2,17401643,regional-global-weekly-2023-01-05.csv
26,spotify:track:5IgjP7X4th6nMNDh4akUHb,Chris Brown,Under The Influence,Chris Brown Entertainment/RCA Records,6,44,24,16996718,regional-global-weekly-2023-01-05.csv
27,spotify:track:561jH07mF1jHuk7KlaeF0s,Eminem,Mockingbird,Eminem Catalog PS,24,47,12,16799258,regional-global-weekly-2023-01-05.csv
28,spotify:track:78Sw5GDo6AlGwTwanjXbGh,d4vd,Here With Me,Darkroom/Interscope Records,28,50,10,16776904,regional-global-weekly-2023-01-05.csv
29,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,5,53,23,16413015,regional-global-weekly-2023-01-05.csv
30,spotify:track:1xzi1Jcr7mEi9K2RfzLOqS,Beyoncé,CUFF IT,Parkwood Entertainment/Columbia,13,73,20,15806019,regional-global-weekly-2023-01-05.csv
31,spotify:track:5XeFesFbtLpXzIVDNQP22n,Arctic Monkeys,I Wanna Be Yours,Domino Recording Co,27,57,26,15697048,regional-global-weekly-2023-01-05.csv
32,spotify:track:11BKm0j4eYoCPPpCONAVwA,Lady Gaga,Bloody Mary,Interscope,31,59,6,15524999,regional-global-weekly-2023-01-05.csv
33,spotify:track:5Eax0qFko2dh7Rl2lYs3bx,Bad Bunny,Efecto,Rimas Entertainment LLC,6,54,35,15515415,regional-global-weekly-2023-01-05.csv
34,spotify:track:3k3NWokhRRkEPhCzPmV8TW,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Rimas Entertainment LLC,3,58,35,15249244,regional-global-weekly-2023-01-05.csv
35,spotify:track:4k6Uh1HXdhtusDW5y8Gbvy,Steve Lacy,Bad Habit,L-M Records/RCA Records,10,61,26,15171793,regional-global-weekly-2023-01-05.csv
36,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,1,70,106,15069567,regional-global-weekly-2023-01-05.csv
37,spotify:track:1xK59OXxi2TAAAbmZK0kBL,d4vd,Romantic Homicide,Darkroom/Interscope Records,17,62,18,14844644,regional-global-weekly-2023-01-05.csv
38,spotify:track:6zJejIfVYLgjud3lTk4DLB,Rosa Linn,SNAP,Nvak Collective,16,66,26,14691479,regional-global-weekly-2023-01-05.csv
39,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,19,64,123,14475994,regional-global-weekly-2023-01-05.csv
40,spotify:track:5PjdY0CKGZdEuoNab3yDmX,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Columbia,1,71,78,14475066,regional-global-weekly-2023-01-05.csv
41,spotify:track:1418IuVKQPTYqt7QNJ9RXN,King,Maan Meri Jaan,Warner Music India,41,77,7,14443508,regional-global-weekly-2023-01-05.csv
42,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,86,162,14079280,regional-global-weekly-2023-01-05.csv
43,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,SZA,Nobody Gets Me,Top Dawg Entertainment/RCA Records,12,63,4,13582485,regional-global-weekly-2023-01-05.csv
44,spotify:track:2CeKVsFFXG4QzA415QygGb,Feid,Feliz Cumpleaños Ferxxo,UMLE - Latino,38,68,20,13468413,regional-global-weekly-2023-01-05.csv
45,spotify:track:4FyesJzVpA39hbYvcseO2d,Lil Uzi Vert,Just Wanna Rock,Generation Now/Atlantic,45,79,11,13428560,regional-global-weekly-2023-01-05.csv
46,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,EMI,4,102,73,13340537,regional-global-weekly-2023-01-05.csv
47,spotify:track:54ipXppHLA8U4yqpOFTUhr,Imagine Dragons,Bones,Kid Ina Korner / Interscope,26,74,43,13080455,regional-global-weekly-2023-01-05.csv
48,spotify:track:31i56LZnwE6uSu3exoHjtB,Bad Bunny,Neverita,Rimas Entertainment LLC,15,75,35,13047971,regional-global-weekly-2023-01-05.csv
49,spotify:track:33cF8aTmGJ6TsEf23uqGIN,"Rauw Alejandro, Lyanno, Brray",LOKERA,Sony Music Latin/Duars Entertainment,38,76,21,12928503,regional-global-weekly-2023-01-05.csv
50,spotify:track:7MXVkk9YMctZqd1Srtv4MB,"The Weeknd, Daft Punk",Starboy,The Weeknd/Lyric,1,81,118,12721088,regional-global-weekly-2023-01-05.csv
51,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,"Metro Boomin, Future, Chris Brown",Superhero (Heroes & Villains) [with Future & Chris Brown],Republic Records,15,82,5,12327029,regional-global-weekly-2023-01-05.csv
52,spotify:track:4ewazQLXFTDC8XvCbhvtXs,Joji,Glimpse of Us,88rising Music,1,85,30,12132782,regional-global-weekly-2023-01-05.csv
53,spotify:track:0JXXNGljqupsJaZsgSbMZV,Miguel,Sure Thing,Jive,53,110,4,11257480,regional-global-weekly-2023-01-05.csv
54,spotify:track:2wSTnntOPRi7aQneobFtU4,SZA,Shirt,Top Dawg Entertainment/RCA Records,21,88,10,11105108,regional-global-weekly-2023-01-05.csv
55,spotify:track:6Xom58OOXk2SoU711L2IXO,Bad Bunny,Moscow Mule,Rimas Entertainment LLC,2,94,35,10972529,regional-global-weekly-2023-01-05.csv
56,spotify:track:6VhuP99TE6gYNQRJIlAWFD,Stephen Sanchez,Until I Found You,Republic Records,20,99,35,10940546,regional-global-weekly-2023-01-05.csv
57,spotify:track:6HMtHNpW6YPi1hrw9tgF8P,Lizzo,About Damn Time,Nice Life/Atlantic,9,-1,34,10888942,regional-global-weekly-2023-01-05.csv
58,spotify:track:6G12ZafqofSq7YtrMqUm76,"Shakira, Ozuna",Monotonía,Sony Music Latin,21,98,11,10788181,regional-global-weekly-2023-01-05.csv
59,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,"Fuerza Regida, Grupo Frontera",Bebe Dame,Rancho Humilde/Street Mob Records,59,-1,1,10571178,regional-global-weekly-2023-01-05.csv
60,spotify:track:0oBtwScT4B4BR5kZitNWd5,Quevedo,PUNTO G,Rimas Entertainment LLC.,60,100,9,10436700,regional-global-weekly-2023-01-05.csv
61,spotify:track:2JPLbjOn0wPCngEot2STUS,Bad Bunny,Yonaguni,Rimas Entertainment LLC,3,171,82,10383444,regional-global-weekly-2023-01-05.csv
62,spotify:track:1cKHdTo9u0ZymJdPGSh6nq,"The Weeknd, Gesaffelstein",I Was Never There,The Weeknd/Lyric,17,104,31,10226450,regional-global-weekly-2023-01-05.csv
63,spotify:track:4fsQ0K37TOXa3hEQfjEic1,LE SSERAFIM,ANTIFRAGILE,SOURCE MUSIC,63,112,11,10149160,regional-global-weekly-2023-01-05.csv
64,spotify:track:2eAvDnpXP5W0cVtiI0PUxV,Ruth B.,Dandelions,Columbia,34,107,73,9977982,regional-global-weekly-2023-01-05.csv
65,spotify:track:7dSZ6zGTQx66c2GF91xCrb,KAROL G,PROVENZA,BICHOTA RECORDS / INTERSCOPE RECORDS / UNIVERSAL MUSIC LATINO,6,109,37,9925509,regional-global-weekly-2023-01-05.csv
66,spotify:track:1RDvyOk4WtPCtoqciJwVn8,"Jung Kook, BTS, FIFA Sound",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack],Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC,14,92,7,9924565,regional-global-weekly-2023-01-05.csv
67,spotify:track:0o9zmvc5f3EFApU52PPIyW,Fujii Kaze,Shinunoga E-Wa,Universal Music LLC,66,114,18,9890610,regional-global-weekly-2023-01-05.csv
68,spotify:track:58ge6dfP91o9oXMzq3XkIS,Arctic Monkeys,505,Domino Recording Co,43,119,53,9854894,regional-global-weekly-2023-01-05.csv
69,spotify:track:2GAhgAjOhEmItWLfgisyOn,SZA,Low,Top Dawg Entertainment/RCA Records,29,108,4,9843445,regional-global-weekly-2023-01-05.csv
