rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:2rPE9A1vEgShuZxxzR2tZH,Ariana Grande,"thank u, next",Republic Records,1,3,9,31187542,regional-global-weekly-2019-01-03.csv
2,spotify:track:3KkXRkHbMCARz0aVfEt68P,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Universal Records,2,5,11,30229896,regional-global-weekly-2019-01-03.csv
3,spotify:track:6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow.,Republic Records,3,25,2,29083499,regional-global-weekly-2019-01-03.csv
4,spotify:track:4w8niZpiMy6qz1mntFA5uM,"DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake Music Productions Limited, under exclusive license to Geffen Records",1,6,14,24784744,regional-global-weekly-2019-01-03.csv
5,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,Capitol Records,4,11,13,22862806,regional-global-weekly-2019-01-03.csv
6,spotify:track:116H0KvKr2Zl4RPuVBruDO,"Bad Bunny, Drake",MIA,Rimas Entertainment LLC,1,14,12,20458104,regional-global-weekly-2019-01-03.csv
7,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,Atlantic Records,7,18,14,20271743,regional-global-weekly-2019-01-03.csv
8,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,Cactus Jack / Epic,2,16,22,18743742,regional-global-weekly-2019-01-03.csv
9,spotify:track:2dpaYNEQHiRxtZbfNsse99,"Marshmello, Bastille",Happier,Joytime Collective,2,20,20,18596650,regional-global-weekly-2019-01-03.csv
10,spotify:track:5iwz1NiezX7WWjnCgY5TH4,"Pedro Capó, Farruko",Calma - Remix,Sony Music Latin,10,28,8,17560600,regional-global-weekly-2019-01-03.csv
11,spotify:track:6FyRXC8tJUh863JCkyWqtk,Paulo Londra,Adan y Eva,WEA Latina,11,19,8,16779675,regional-global-weekly-2019-01-03.csv
12,spotify:track:0FZ4Dmg8jJJAPJnvBIzD9z,"Kodak Black, Offset, Travis Scott",ZEZE (feat. Travis Scott & Offset),Atlantic Records,3,22,12,16760203,regional-global-weekly-2019-01-03.csv
13,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,"Meek Mill, Drake",Going Bad (feat. Drake),MMG/Atlantic,11,24,5,16204182,regional-global-weekly-2019-01-03.csv
