rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),1,1,24,50183626,regional-global-weekly-2020-01-02.csv
2,spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,Arizona Zervas,2,4,10,33254585,regional-global-weekly-2020-01-02.csv
3,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,"KAROL G, Nicki Minaj",Tusa,TUSA - Karol G & Nicki Minaj,3,6,8,29349573,regional-global-weekly-2020-01-02.csv
4,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records*,2,9,15,26067853,regional-global-weekly-2020-01-02.csv
5,spotify:track:4TnjEaWOeW0eKTKIEvJyCa,Trevor Daniel,Falling,Alamo,5,8,7,25901488,regional-global-weekly-2020-01-02.csv
6,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,12,18,25481417,regional-global-weekly-2020-01-02.csv
7,spotify:track:6WrI0LAC5M1Rw2MnX2ZvEg,Dua Lipa,Don't Start Now,Warner Records,5,13,9,25355075,regional-global-weekly-2020-01-02.csv
8,spotify:track:0sf12qNH5qcw8qpgymFOqD,The Weeknd,Blinding Lights,Republic Records,7,15,5,24279792,regional-global-weekly-2020-01-02.csv
9,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,18,28,22341642,regional-global-weekly-2020-01-02.csv
10,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,Darkroom/Interscope Records,2,16,8,21828884,regional-global-weekly-2020-01-02.csv
11,spotify:track:6cy3ki60hLwimwIje7tALf,"Black Eyed Peas, J Balvin",RITMO (Bad Boys For Life),Epic/We The Best,9,20,12,21495411,regional-global-weekly-2020-01-02.csv
12,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,25,52,19926066,regional-global-weekly-2020-01-02.csv
13,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,Atlantic Records,13,35,3,19692658,regional-global-weekly-2020-01-02.csv
14,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,1,30,40,19126747,regional-global-weekly-2020-01-02.csv
15,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,6,26,4,17625649,regional-global-weekly-2020-01-02.csv
16,spotify:track:7h0d2h0fUmzbs7zeFigJPn,"Travis Scott, ROSALÍA, Lil Baby",HIGHEST IN THE ROOM (feat. ROSALÍA & Lil Baby) - REMIX,Cactus Jack/Epic,16,-1,1,16492946,regional-global-weekly-2020-01-02.csv
17,spotify:track:3yOlyBJuViE2YSGn3nVE1K,"Camila Cabello, DaBaby",My Oh My (feat. DaBaby),Syco Music/Epic,17,41,4,16413012,regional-global-weekly-2020-01-02.csv
18,spotify:track:1HfMVBKM75vxSfsQ5VefZ5,Selena Gomez,Lose You To Love Me,Interscope Records,1,37,11,15874364,regional-global-weekly-2020-01-02.csv
19,spotify:track:7aiClxsDWFRQ0Kzk5KI5ku,blackbear,hot girl bummer,Alamo,9,38,19,15465132,regional-global-weekly-2020-01-02.csv
20,spotify:track:5DxXgozhkPLgrbKFY91w0c,Bad Bunny,Vete,Rimas Entertainment LLC,10,32,6,15413004,regional-global-weekly-2020-01-02.csv
21,spotify:track:2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ministry of Sound Recordings,12,42,17,15031525,regional-global-weekly-2020-01-02.csv
22,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,14,36,7,14548153,regional-global-weekly-2020-01-02.csv
23,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,Cactus Jack/Epic,1,34,13,13722175,regional-global-weekly-2020-01-02.csv
24,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,53,63,13525959,regional-global-weekly-2020-01-02.csv
25,spotify:track:2ksOAxtIxY8yElEWw8RhgK,"Anuel AA, Daddy Yankee, KAROL G, J Balvin, Ozuna",China,"2019 Real Hasta La Muerte, LLC.",2,49,24,13153651,regional-global-weekly-2020-01-02.csv
26,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP,South Coast Music Group/Interscope Records,26,55,14,13108721,regional-global-weekly-2020-01-02.csv
27,spotify:track:6gi6y1xwmVszDWkUqab1qw,"JACKBOYS, Travis Scott, Young Thug",OUT WEST (feat. Young Thug),Cactus Jack/Epic,27,-1,1,13014508,regional-global-weekly-2020-01-02.csv
28,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,"Ed Sheeran & Justin Bieber, Justin Bieber",I Don't Care (with Justin Bieber),Atlantic Records UK,1,61,34,12885850,regional-global-weekly-2020-01-02.csv
29,spotify:track:57vxBYXtHMk6H1aD29V7PU,The Weeknd,Heartless,Republic Records,4,47,6,12781406,regional-global-weekly-2020-01-02.csv
30,spotify:track:70eFcWOvlMObDhURTqT4Fv,"Ed Sheeran, Khalid",Beautiful People (feat. Khalid),Atlantic Records UK,3,60,27,12673326,regional-global-weekly-2020-01-02.csv
31,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,3,39,86,12337982,regional-global-weekly-2020-01-02.csv
32,spotify:track:3VyjsVV24RmBIbWJAeUJNu,Don Toliver,No Idea,We Run It Ent./Cactus Jack/Atlantic,32,66,5,12330887,regional-global-weekly-2020-01-02.csv
33,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,"Juice WRLD, YoungBoy Never Broke Again",Bandit (with YoungBoy Never Broke Again),Grade A Productions/Interscope Records,14,52,13,12112872,regional-global-weekly-2020-01-02.csv
34,spotify:track:6mAN61JH0dzyZpWslS11jy,"Rauw Alejandro, Farruko",Fantasias,"(SME US Latin) Duars Entertainment, Corp. (2)",28,57,14,11929120,regional-global-weekly-2020-01-02.csv
35,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,19,64,6,11851834,regional-global-weekly-2020-01-02.csv
36,spotify:track:6uJONCdr2rC65BNmCnTBWK,"JACKBOYS, Sheck Wes",GANG GANG,Cactus Jack/Epic,36,-1,1,11484613,regional-global-weekly-2020-01-02.csv
37,spotify:track:2Ec33AVlkTTq8BHFgBTdQs,Lil Uzi Vert,Futsal Shuffle 2020,Generation Now/Atlantic,18,46,3,11472876,regional-global-weekly-2020-01-02.csv
38,spotify:track:4AO1XhrgJczQ9bNVxdfKQe,"JACKBOYS, Travis Scott, Don Toliver",WHAT TO DO? (feat. Don Toliver),Cactus Jack/Epic,38,-1,1,10980949,regional-global-weekly-2020-01-02.csv
39,spotify:track:2jrAaawDRCn1JjeouxAyDN,"Don Toliver, Offset, Quavo",Had Enough (feat. Quavo & Offset),We Run It Ent./Cactus Jack/Atlantic,39,-1,1,10967607,regional-global-weekly-2020-01-02.csv
40,spotify:track:7CHi4DtfK4heMlQaudCuHK,"MEDUZA, Becky Hill, Goodboys",Lose Control,Intercord,34,85,11,10632666,regional-global-weekly-2020-01-02.csv
41,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,1,77,50,10570155,regional-global-weekly-2020-01-02.csv
42,spotify:track:6b2RcmUt1g9N9mQ3CbjX2Y,Sam Smith,How Do You Sleep?,PLG - Capitol,7,75,24,10544297,regional-global-weekly-2020-01-02.csv
43,spotify:track:0fea68AdmYNygeTGI4RC18,"J Balvin, Bad Bunny",LA CANCIÓN,Universal Music Latino / Rimas,17,69,27,10501991,regional-global-weekly-2020-01-02.csv
44,spotify:track:2YpeDb67231RjR0MgVLzsG,"Lil Nas X, Billy Ray Cyrus",Old Town Road (feat. Billy Ray Cyrus) - Remix,Columbia,2,86,39,10483714,regional-global-weekly-2020-01-02.csv
45,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,"Dan + Shay, Justin Bieber","10,000 Hours (with Justin Bieber)",Warner Records Nashville,5,80,13,10360035,regional-global-weekly-2020-01-02.csv
46,spotify:track:51Fjme0JiitpyXKuyQiCDo,"Y2K, bbno$",Lalala,Columbia,4,74,28,10215601,regional-global-weekly-2020-01-02.csv
47,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,"Ed Sheeran, Camila Cabello, Cardi B",South of the Border (feat. Camila Cabello & Cardi B),Atlantic Records UK,10,91,25,10019267,regional-global-weekly-2020-01-02.csv
48,spotify:track:5stPVcRqb4qixbafP9e8lt,"Dalex, Lenny Tavárez, Chencho Corleone, Juhn, Dímelo Flow",Hola - Remix,Rich Music,48,90,7,9966686,regional-global-weekly-2020-01-02.csv
49,spotify:track:6LcauUZjF1eXQrgqMUecHX,Tyga,Ayy Macarena,Columbia/Last Kings Records,49,73,7,9810547,regional-global-weekly-2020-01-02.csv
50,spotify:track:2TH65lNHgvLxCKXM3apjxI,"Bad Bunny, Tainy",Callaita,Rimas Entertainment LLC,7,78,31,9768682,regional-global-weekly-2020-01-02.csv
51,spotify:track:7sQKy5vlPQllr0k9IjYJv3,"Arcángel, Sech, Dímelo Flow",Sigues Con El,Rimas Entertainment LLC.,51,104,2,9509134,regional-global-weekly-2020-01-02.csv
52,spotify:track:1iSqfoUFnQwV0QW1EfUit8,YNW Melly,Suicidal,P2019,52,114,2,9498868,regional-global-weekly-2020-01-02.csv
53,spotify:track:2pWOMNQJW3g2zmGjP0Vkb0,"Nicky Jam, Anuel AA",Whine Up,Sony Music Latin,44,89,9,9384022,regional-global-weekly-2020-01-02.csv
54,spotify:track:3CYH422oy1cZNoo0GTG1TK,Red Velvet,Psycho,SM Entertainment,54,189,2,9132322,regional-global-weekly-2020-01-02.csv
55,spotify:track:4R8BJggjosTswLxtkw8V7P,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,N&E Entertainment LLC,20,84,32,9079621,regional-global-weekly-2020-01-02.csv
56,spotify:track:1lOe9qE0vR9zwWQAOk6CoO,Lil Tecca,Ransom,Republic Records,3,88,31,9048763,regional-global-weekly-2020-01-02.csv
57,spotify:track:3QzAOrNlsabgbMwlZt7TAY,"Mustard, Roddy Ricch",Ballin' (with Roddy Ricch),10 Summers Records/Interscope Records,57,107,13,8987983,regional-global-weekly-2020-01-02.csv
58,spotify:track:6vBdBCoOhKHiYDDOcorfNo,"Post Malone, Young Thug",Goodbyes (feat. Young Thug),Republic Records,2,96,26,8942304,regional-global-weekly-2020-01-02.csv
59,spotify:track:4HBvwhhYo7YiYXkUDrOHzS,"SHAED, ZAYN",Trampoline (with ZAYN),Photo Finish Records,19,100,14,8896030,regional-global-weekly-2020-01-02.csv
