rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:7wGoVu4Dady5GV0Sv4UIsx,"Post Malone, 21 Savage",rockstar (feat. 21 Savage),Republic Records,1,1,16,30769464,regional-global-weekly-2018-01-04.csv
2,spotify:track:0ofbQMrRDsUaVKq2mGLEAb,"Camila Cabello, Young Thug",Havana (feat. Young Thug),Syco Music/Epic,2,3,22,26213719,regional-global-weekly-2018-01-04.csv
3,spotify:track:2ekn2ttSfGqwhhate0LSR0,Dua Lipa,New Rules,Warner Records,2,6,26,22842546,regional-global-weekly-2018-01-04.csv
4,spotify:track:5UEnHoDYpsxlfzWLZIc7LD,"Eminem, Ed Sheeran",River (feat. Ed Sheeran),Eminem Catalog PS,2,4,3,22115164,regional-global-weekly-2018-01-04.csv
5,spotify:track:7EmGUiUaOSGDnUUQUDrOXC,"Selena Gomez, Marshmello",Wolves,Selena Gomez PS,3,7,11,20800608,regional-global-weekly-2018-01-04.csv
6,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,8,44,18357808,regional-global-weekly-2018-01-04.csv
7,spotify:track:1zsG4eaZmkA1dvjDDsAGLK,"Luis Fonsi, Demi Lovato",Échame La Culpa,UMLE - Latino,7,9,7,18074719,regional-global-weekly-2018-01-04.csv
8,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,16,52,17570858,regional-global-weekly-2018-01-04.csv
9,spotify:track:3hBBKuWJfxlIlnd9QFoC8k,"Maroon 5, SZA",What Lovers Do,Interscope Records*,5,15,18,17477163,regional-global-weekly-2018-01-04.csv
10,spotify:track:5k38wzpLb15YgncyWdTZE4,"G-Eazy, Halsey",Him & I (with Halsey),BPG/RVG/RCA Records,10,12,5,17462783,regional-global-weekly-2018-01-04.csv
11,spotify:track:6mrKP2jyIQmM0rw6fQryjr,NF,Let You Down,NF Real Music,9,11,13,17282065,regional-global-weekly-2018-01-04.csv
12,spotify:track:43ZyHQITOjhciSUUNPVRHc,Lil Pump,Gucci Gang,Warner Records,6,10,17,15921790,regional-global-weekly-2018-01-04.csv
13,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,PLG - Capitol,1,14,17,15502779,regional-global-weekly-2018-01-04.csv
14,spotify:track:7vGuf3Y35N4wmASOKLUVVU,"Marshmello, Khalid",Silence,Joytime Collective/RCA Records,8,17,21,15112294,regional-global-weekly-2018-01-04.csv
15,spotify:track:1bhUWB0zJMIKr9yVPrkEuI,"Ed Sheeran, Beyoncé",Perfect Duet (Ed Sheeran & Beyoncé),Atlantic Records UK,3,13,5,14996086,regional-global-weekly-2018-01-04.csv
16,spotify:track:75ZvA4QfFiZvzhj2xkaWAh,Post Malone,I Fall Apart,Mercury Records/Republic Owned,10,20,15,14395657,regional-global-weekly-2018-01-04.csv
17,spotify:track:4lESS6vuruP6a79KWRaQou,"Maluma, Nego do Borel",Corazón (feat. Nego do Borel),Sony Music Latin,17,21,9,13600157,regional-global-weekly-2018-01-04.csv
18,spotify:track:1j4kHkkpqZRBwE0A4CN4Yv,"ZAYN, Sia",Dusk Till Dawn (feat. Sia) - Radio Edit,RCA Records Label,4,23,17,12978460,regional-global-weekly-2018-01-04.csv
19,spotify:track:5AEtlRudpgdT5FtNiuly6Y,"Hailee Steinfeld, Alesso, Florida Georgia Line, WATT","Let Me Go (with Alesso, Florida Georgia Line & watt)",Universal Records,16,31,17,12977633,regional-global-weekly-2018-01-04.csv
20,spotify:track:2DQ1ITjI0YoLFzuADN1ZBW,"G-Eazy, A$AP Rocky, Cardi B",No Limit,BPG/RVG/RCA Records,20,39,14,12557918,regional-global-weekly-2018-01-04.csv
21,spotify:track:3Ga6eKrUFf12ouh9Yw3v2D,"Anitta, J Balvin",Downtown,WM Brazil,21,22,7,12243044,regional-global-weekly-2018-01-04.csv
22,spotify:track:6Za3190Sbw39BBC77WSS1C,"NATTI NATASHA, Ozuna",Criminal,Pina Records,21,27,16,12012034,regional-global-weekly-2018-01-04.csv
23,spotify:track:5Z3GHaZ6ec9bsiI5BenrbY,Khalid,Young Dumb & Broke,"Right Hand Music Group, LLC/RCA Records",12,35,28,11926151,regional-global-weekly-2018-01-04.csv
24,spotify:track:0tKcYR2II1VCQWT79i5NrW,Imagine Dragons,Thunder,Kid Ina Korner / Interscope,8,34,36,11665009,regional-global-weekly-2018-01-04.csv
25,spotify:track:5hcisvFMidkMJlElTO9Qmw,"Bad Bunny, Prince Royce, J Balvin, Mambo Kingz, DJ Luian",Sensualidad,Hear This Music,21,26,9,11626025,regional-global-weekly-2018-01-04.csv
26,spotify:track:2rb5MvYT7ZIxbKW5hfcHx8,"J Balvin, Willy William",Mi Gente,UMLE - Latino,1,41,27,11451420,regional-global-weekly-2018-01-04.csv
27,spotify:track:7iDa6hUg2VgEL1o1HjmfBn,"Bebe Rexha, Florida Georgia Line",Meant to Be (feat. Florida Georgia Line),Warner Records,27,45,16,11337902,regional-global-weekly-2018-01-04.csv
28,spotify:track:75FDPwaULRdYDn4StFN2rT,"Cardi B, 21 Savage",Bartier Cardi (feat. 21 Savage),KSR/Atlantic,28,54,2,11285907,regional-global-weekly-2018-01-04.csv
29,spotify:track:5CtI0qwDJkDQGwXD1H1cLb,"Luis Fonsi, Daddy Yankee, Justin Bieber",Despacito - Remix,UMLE - Latino,1,72,38,11169945,regional-global-weekly-2018-01-04.csv
30,spotify:track:7GX5flRQZVHRAGd6B4TmDO,Lil Uzi Vert,XO Tour Llif3,Generation Now/Atlantic,10,33,41,11110774,regional-global-weekly-2018-01-04.csv
31,spotify:track:32DGGj6KlNuBr6WaqRxpxi,Charlie Puth,How Long,Artist Partner,15,37,13,11011585,regional-global-weekly-2018-01-04.csv
32,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,Feel It Still,Atlantic Records,18,61,25,10920312,regional-global-weekly-2018-01-04.csv
33,spotify:track:2xmrfQpmS2iJExTlklLoAL,"Clean Bandit, Julia Michaels",I Miss You (feat. Julia Michaels),Atlantic Records UK,23,43,10,10694252,regional-global-weekly-2018-01-04.csv
