rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:4MzXwWMhyBbmu6hOcLVD49,"Bad Bunny, JHAYCO",DÁKITI,Rimas Entertainment LLC,1,1,10,31544941,regional-global-weekly-2021-01-07.csv
2,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,"24kGoldn, iann dior",Mood (feat. iann dior),Records/Columbia,1,2,22,23461354,regional-global-weekly-2021-01-07.csv
3,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,5,58,22981042,regional-global-weekly-2021-01-07.csv
4,spotify:track:35mvY5S1H3J2QZyna3TFe0,Ariana Grande,positions,Republic Records,1,6,11,21761667,regional-global-weekly-2021-01-07.csv
5,spotify:track:7vrJn5hDSXRmdXoR30KgF1,KAROL G,BICHOTA,UMLE - Latino,3,3,11,21424279,regional-global-weekly-2021-01-07.csv
6,spotify:track:31qCy5ZaophVA81wtlwLc4,Justin Bieber,Anyone,RBMG/Def Jam,6,-1,1,20640496,regional-global-weekly-2021-01-07.csv
7,spotify:track:6Im9k8u9iIzKMrmV7BWtlF,Ariana Grande,34+35,Republic Records,5,8,10,19518134,regional-global-weekly-2021-01-07.csv
8,spotify:track:7hxHWCCAIIxFLCzvDgnQHX,"Internet Money, Gunna, Don Toliver, NAV",Lemonade (feat. NAV),Internet Money Records / TenThousand Projects,2,11,21,18108073,regional-global-weekly-2021-01-07.csv
9,spotify:track:4saklk6nie3yiGePpBwUoc,BTS,Dynamite,BIGHIT MUSIC,2,9,20,17952431,regional-global-weekly-2021-01-07.csv
10,spotify:track:2XIc1pqjXV3Cr2BQUGNBck,"Bad Bunny, ROSALÍA",LA NOCHE DE ANOCHE,Rimas Entertainment LLC,2,10,6,17269881,regional-global-weekly-2021-01-07.csv
11,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,CJ,Whoopty,CJ Music Group/T-Series,11,17,11,16865566,regional-global-weekly-2021-01-07.csv
12,spotify:track:27OeeYzk6klgBh83TSvGMA,The Kid LAROI,WITHOUT YOU,Columbia,12,18,5,16638846,regional-global-weekly-2021-01-07.csv
13,spotify:track:54bFM56PmE4YLRnqpW6Tha,Billie Eilish,Therefore I Am,Darkroom/Interscope Records,2,16,8,15928423,regional-global-weekly-2021-01-07.csv
14,spotify:track:5nujrmhLynf4yMoMtj8AQF,"Dua Lipa, DaBaby",Levitating (feat. DaBaby),Warner Records,14,26,14,15640441,regional-global-weekly-2021-01-07.csv
15,spotify:track:1tkg4EHVoqnhR6iFEXb60y,Pop Smoke,What You Know Bout Love,Victor Victor Worldwide,6,20,18,14763875,regional-global-weekly-2021-01-07.csv
16,spotify:track:1HbA4N1MiOsPthALesGFR1,"Shawn Mendes, Justin Bieber",Monster (Shawn Mendes & Justin Bieber),Shawn Mendes LP4-5 PS/ Island,7,25,7,14538257,regional-global-weekly-2021-01-07.csv
