rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
17,spotify:track:6UelLqGlWMcVH1E5c4H7lY,Harry Styles,Watermelon Sugar,Columbia,4,27,60,14205168,regional-global-weekly-2021-01-07.csv
18,spotify:track:0E4Y1XIbs8GrAT1YqVy6dq,Ed Sheeran,Afterglow,Atlantic Records UK,18,21,3,14139901,regional-global-weekly-2021-01-07.csv
19,spotify:track:6zFMeegAMYQo0mt8rXtrli,Lil Nas X,HOLIDAY,Columbia,19,23,8,13545304,regional-global-weekly-2021-01-07.csv
20,spotify:track:1yoMvmasuxZfqHEipJhRbp,Maluma,Hawái,Sony Music Latin,2,24,23,13419314,regional-global-weekly-2021-01-07.csv
21,spotify:track:3Uo7WG0vmLQ07WB4BDwy7D,Taylor Swift,willow,Taylor Swift,3,28,4,13314862,regional-global-weekly-2021-01-07.csv
22,spotify:track:45bE4HXI0AwGZXfZtMp8JR,Tate McRae,you broke me first,RCA Records Label,13,31,26,13296954,regional-global-weekly-2021-01-07.csv
23,spotify:track:6cx06DFPPHchuUAcTxznu9,"Joel Corry, MNEK",Head & Heart (feat. MNEK),Atlantic Records UK,11,30,26,12970171,regional-global-weekly-2021-01-07.csv
24,spotify:track:4Oun2ylbjFKMPTiaSbbCih,"Cardi B, Megan Thee Stallion",WAP (feat. Megan Thee Stallion),Atlantic/KSR,1,29,22,12911300,regional-global-weekly-2021-01-07.csv
25,spotify:track:4y4spB9m0Q6026KfkAvy9Q,"Justin Bieber, benny blanco",Lonely (with benny blanco),Friends Keep Secrets/Def Jam Recordings/Interscope Records,5,35,12,12842427,regional-global-weekly-2021-01-07.csv
26,spotify:track:3VvA1wSxukMLsvXoXtlwWx,Boza,Hecha Pa' Mi,Sony Music Latin,26,33,6,12395766,regional-global-weekly-2021-01-07.csv
27,spotify:track:7ytR5pFWmSjzHJIeQkgog4,"DaBaby, Roddy Ricch",ROCKSTAR (feat. Roddy Ricch),South Coast Music Group/Interscope Records,1,32,38,12228173,regional-global-weekly-2021-01-07.csv
28,spotify:track:3YJJjQPAbDT7mGpX3WtQ9A,SZA,Good Days,Top Dawg Entertainment/RCA Records,28,98,2,12038839,regional-global-weekly-2021-01-07.csv
29,spotify:track:7uoFMmxln0GPXQ0AcCBXRq,Sia,Snowman,Monkey Puzzle/Atlantic,12,12,4,11948976,regional-global-weekly-2021-01-07.csv
30,spotify:track:0zLCBJZSiELJf02ucPP9wb,"SAINt JHN, Imanbek",Roses - Imanbek Remix,Columbia/B1 Recordings,3,37,56,11943548,regional-global-weekly-2021-01-07.csv
31,spotify:track:2Oycxb8QbPkpHTo8ZrmG0B,"Miley Cyrus, Dua Lipa",Prisoner (feat. Dua Lipa),RCA Records Label,11,40,7,11937057,regional-global-weekly-2021-01-07.csv
32,spotify:track:1rgnBhdG2JDFTbYkYRZAku,Tones And I,Dance Monkey,Elektra (NEK),1,34,77,11837369,regional-global-weekly-2021-01-07.csv
33,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,4,42,105,11827021,regional-global-weekly-2021-01-07.csv
34,spotify:track:6f3Slt0GbA2bPZlz0aIFXN,Tiësto,The Business,Atlantic Records,34,45,10,11650159,regional-global-weekly-2021-01-07.csv
35,spotify:track:4loQgPwJHocL3dFwLfjb1J,"Rauw Alejandro, Anuel AA",Reloj,Sony Music Latin/Duars Entertainment,35,36,10,11589959,regional-global-weekly-2021-01-07.csv
36,spotify:track:1xK1Gg9SxG8fy2Ya373oqb,"Myke Towers, Juhn",Bandido,White World Music,36,65,3,11425851,regional-global-weekly-2021-01-07.csv
37,spotify:track:0PvFJmanyNQMseIFrU708S,"Pop Smoke, Lil Baby, DaBaby",For The Night (feat. Lil Baby & DaBaby),Victor Victor Worldwide,7,43,27,11414631,regional-global-weekly-2021-01-07.csv
38,spotify:track:7ndTONDDRFGiPnnhOzOXxq,"Manuel Turizo, Rauw Alejandro, Myke Towers",La Nota,Sony Music Latin/La Industria,21,39,13,11169792,regional-global-weekly-2021-01-07.csv
39,spotify:track:3PfIrDoz19wz7qK7tYeu62,Dua Lipa,Don't Start Now,Warner Records,2,48,62,10883889,regional-global-weekly-2021-01-07.csv
40,spotify:track:21N4Buj4xsyLb218lYle61,"Sebastian Yatra, Guaynaa",Chica Ideal,UMLE - Latino,40,44,11,10415552,regional-global-weekly-2021-01-07.csv
41,spotify:track:20McUFi8KCIVdNDLrkTDuZ,HVME,Goosebumps,Columbia/B1 Recordings,41,66,8,10192990,regional-global-weekly-2021-01-07.csv
42,spotify:track:35UUpTmrcFXNIVIN26ujXl,"Sech, Daddy Yankee, J Balvin, ROSALÍA, Farruko",Relación - Remix,Rich Music,15,49,18,9880858,regional-global-weekly-2021-01-07.csv
43,spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,The Neighbourhood,Sweater Weather,Columbia,43,64,19,9809645,regional-global-weekly-2021-01-07.csv
44,spotify:track:4xqrdfXkTW4T0RauPLv3WA,Conan Gray,Heather,Republic Records,12,60,24,9780750,regional-global-weekly-2021-01-07.csv
45,spotify:track:7D7EH7MGyNHWSkqrszerI1,"Camilo, El Alfa",BEBÉ,Sony Music Latin,45,53,5,9749838,regional-global-weekly-2021-01-07.csv
46,spotify:track:73nAK3HgQK8dak83Y2WQ8F,Camilo,Vida de Rico,Sony Music Latin,25,54,15,9528870,regional-global-weekly-2021-01-07.csv
47,spotify:track:15OjBeqNX3bShsGYQbteRv,Farruko,La Tóxica,Sony Music Latin,22,55,18,9515279,regional-global-weekly-2021-01-07.csv
48,spotify:track:6ft4hAq6yde8jPZY2i5zLr,"MEDUZA, Dermot Kennedy",Paradise (feat. Dermot Kennedy),Universal-Island Records Ltd.,48,68,10,9507994,regional-global-weekly-2021-01-07.csv
49,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,Vertigo Berlin,19,63,59,9501119,regional-global-weekly-2021-01-07.csv
50,spotify:track:5RubKOuDoPn5Kj5TLVxSxY,Bad Bunny,TE MUDASTE,Rimas Entertainment LLC,12,56,6,9267155,regional-global-weekly-2021-01-07.csv
51,spotify:track:5u1n1kITHCxxp8twBcZxWy,"Justin Bieber, Chance the Rapper",Holy (feat. Chance The Rapper),RBMG/Def Jam,4,57,16,9175652,regional-global-weekly-2021-01-07.csv
52,spotify:track:2SAqBLGA283SUiwJ3xOUVI,"Drake, Lil Durk",Laugh Now Cry Later (feat. Lil Durk),OVO,2,70,21,9046431,regional-global-weekly-2021-01-07.csv
53,spotify:track:6ZuahEctZD6w75peme58hm,Shawn Mendes,Wonder,Shawn Mendes LP4-5 PS/ Island,12,77,14,8896972,regional-global-weekly-2021-01-07.csv
54,spotify:track:1xQ6trAsedVPCdbtDAmk0c,"Jawsh 685, Jason Derulo",Savage Love (Laxed - Siren Beat),Columbia,1,62,30,8830525,regional-global-weekly-2021-01-07.csv
55,spotify:track:6AGOKlMZWLCaEJGnaROtF9,Ritt Momney,Put Your Records On,Columbia,18,80,17,8663990,regional-global-weekly-2021-01-07.csv
56,spotify:track:21jGcNKet2qwijlDFuPiPb,Post Malone,Circles,Republic Records,1,79,71,8541746,regional-global-weekly-2021-01-07.csv
57,spotify:track:249gnXrbfmV8NG6jTEMSwD,BTS,Life Goes On,BIGHIT MUSIC,4,71,7,8440117,regional-global-weekly-2021-01-07.csv
58,spotify:track:2bgcUk2A3jjKbCJ7KPquTi,"Wisin, Myke Towers, Los Legendarios",Mi Niña,La Base Music Group/ WK Records,37,67,14,8376535,regional-global-weekly-2021-01-07.csv
59,spotify:track:59qrUpoplZxbIZxk6X0Bm3,Jason Derulo,Take You Dancing,Atlantic Records,30,81,24,8315131,regional-global-weekly-2021-01-07.csv
60,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,"Ozuna, J Balvin, Chencho Corleone",Una Locura,Aura Music Corp.,34,69,17,8262061,regional-global-weekly-2021-01-07.csv
61,spotify:track:7eJMfftS33KTjuF7lTsMCx,"Powfu, beabadoobee",death bed (coffee for your head),Columbia,4,82,47,8246212,regional-global-weekly-2021-01-07.csv
62,spotify:track:2vBET2pmrQqafaS6zIaYta,"Black Eyed Peas, Shakira",GIRL LIKE ME,Epic,62,88,3,8112672,regional-global-weekly-2021-01-07.csv
63,spotify:track:3H7ihDc1dqLriiWXwsc2po,"Topic, A7S",Breaking Me,Intercord,8,73,42,8100070,regional-global-weekly-2021-01-07.csv
64,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,Roddy Ricch,The Box,Atlantic Records,1,76,56,8063237,regional-global-weekly-2021-01-07.csv
65,spotify:track:3qgPpwtuRu5oP8EtFSj8HE,The Kid LAROI,SO DONE,Columbia,46,93,11,8006842,regional-global-weekly-2021-01-07.csv
66,spotify:track:11EnQRgRMJwMAesfkB5pnu,"Lele Pons, Guaynaa",Se Te Nota (with Guaynaa),Shots Studios & Music/10:22pm/Interscope Records,24,75,16,7958084,regional-global-weekly-2021-01-07.csv
67,spotify:track:0EhpEsp4L0oRGM0vmeaN5e,"J Balvin, Dua Lipa, Bad Bunny, Tainy",UN DIA (ONE DAY) (Feat. Tainy),Universal Music Latino/ NEON16,10,84,24,7925452,regional-global-weekly-2021-01-07.csv
68,spotify:track:4HYDUMY0xSpeBr0AMY9cUz,"Jay Wheeler, DJ Nelson, Myke Towers",La Curiosidad,Linked Music / Dynamic Records / EMPIRE,19,74,28,7907130,regional-global-weekly-2021-01-07.csv
69,spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,Mogul Vision/Interscope Records,8,87,48,7865904,regional-global-weekly-2021-01-07.csv
70,spotify:track:45S5WTQEGOB1VHr1Q4FuPl,Harry Styles,Golden,Columbia,44,102,12,7788756,regional-global-weekly-2021-01-07.csv
71,spotify:track:0A1hoCfMLkiAgvhWkkucJa,Megan Thee Stallion,Body,300 Entertainment,61,92,7,7697915,regional-global-weekly-2021-01-07.csv
72,spotify:track:3UoULw70kMsiVXxW0L3A33,Ariana Grande,pov,Republic Records,20,86,10,7693964,regional-global-weekly-2021-01-07.csv
73,spotify:track:0RiRZpuVRbi7oqRdSMwhQY,"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,Republic Records,1,90,116,7674841,regional-global-weekly-2021-01-07.csv
74,spotify:track:2b8fOow8UzyDFAE27YhOZM,Maroon 5,Memories,Interscope Records*,2,96,68,7621887,regional-global-weekly-2021-01-07.csv
75,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,Columbia,6,104,57,7596018,regional-global-weekly-2021-01-07.csv
76,spotify:track:0u2P5u6lvoDfwTYjAADbn4,"Billie Eilish, Khalid",lovely (with Khalid),Darkroom,24,97,142,7560927,regional-global-weekly-2021-01-07.csv
77,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,Juice WRLD Mixtape / ISR P&D,3,95,139,7516001,regional-global-weekly-2021-01-07.csv
78,spotify:track:3GtnId3Cm1Xa6joCj08nzW,Justin Quiles,Jeans,WEA Latina,35,83,19,7514833,regional-global-weekly-2021-01-07.csv
79,spotify:track:2U5WueTLIK5WJLD7mvDODv,Juice WRLD,Wishing Well,Grade A Productions/Interscope Records,7,103,26,7494417,regional-global-weekly-2021-01-07.csv
80,spotify:track:7x4ASXYEKfQBCewcZhK776,KAROL G,"Ay, DiOs Mío!",UMLE - Latino,14,85,26,7464022,regional-global-weekly-2021-01-07.csv
81,spotify:track:7ju97lgwC2rKQ6wwsf9no9,"Lady Gaga, Ariana Grande",Rain On Me (with Ariana Grande),Interscope,1,105,33,7242961,regional-global-weekly-2021-01-07.csv
82,spotify:track:4RJz8NfIe09gpKMiRUWKhJ,"Maluma, Lenny Tavárez, Justin Quiles",Parce (feat. Justin Quiles),Sony Music Latin,37,89,20,7209445,regional-global-weekly-2021-01-07.csv
83,spotify:track:78SeXVRJ7KCqVmOwTiFjnI,"Bizarrap, NATHY PELUSO","Nathy Peluso: Bzrp Music Sessions, Vol. 36/66",DALE PLAY Records,83,91,5,7208840,regional-global-weekly-2021-01-07.csv
84,spotify:track:55Am8neGJkdj2ADaM3aw5H,James Arthur,Train Wreck,Columbia,64,109,12,7207365,regional-global-weekly-2021-01-07.csv
85,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,"KAROL G, Nicki Minaj",Tusa,TUSA - Karol G & Nicki Minaj,3,94,61,7186577,regional-global-weekly-2021-01-07.csv
86,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Fleetwood Mac,Dreams - 2004 Remaster,Rhino/Warner Records,20,106,15,7165372,regional-global-weekly-2021-01-07.csv
87,spotify:track:6v3KW9xbzN5yKLt9YKDYA2,"Shawn Mendes, Camila Cabello",Señorita,Island Records,1,99,81,7118952,regional-global-weekly-2021-01-07.csv
88,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,Darkroom/Interscope Records,1,101,93,6983874,regional-global-weekly-2021-01-07.csv
89,spotify:track:5YSHygGN9D0mID1NsVd5my,"Juice WRLD, The Kid LAROI",Reminds Me Of You,Grade A Productions/Interscope Records,73,111,4,6884889,regional-global-weekly-2021-01-07.csv
90,spotify:track:6gBFPUFcJLzWGx4lenP6h2,Travis Scott,goosebumps,Cactus Jack / Epic,13,107,178,6877516,regional-global-weekly-2021-01-07.csv
91,spotify:track:2Y0wPrPQBrGhoLn14xRYCG,"Juice WRLD, Marshmello",Come & Go (with Marshmello),Grade A Productions/Interscope Records,4,115,26,6812738,regional-global-weekly-2021-01-07.csv
92,spotify:track:2tI4WyzqOOwC23S5m0kqcB,Pink Sweat$,At My Worst,Atlantic Records,92,127,10,6758489,regional-global-weekly-2021-01-07.csv
93,spotify:track:2r6OAV3WsYtXuXjvJ1lIDi,"Pop Smoke, A Boogie Wit da Hoodie",Hello (feat. A Boogie Wit da Hoodie),Victor Victor Worldwide,93,131,18,6717958,regional-global-weekly-2021-01-07.csv
94,spotify:track:6i7zAdNhzUN2k1HcrBxPHG,"Ofenbach, Quarterhead, Norma Jean Martine",Head Shoulders Knees & Toes (feat. Norma Jean Martine),Elektra France,94,116,17,6680950,regional-global-weekly-2021-01-07.csv
95,spotify:track:7B3z0ySL9Rr0XvZEAjWZzM,Clairo,Sofia,FADER Label,49,125,14,6667680,regional-global-weekly-2021-01-07.csv
96,spotify:track:4G3PTss3mU33Tau7t4KbwE,"Rauw Alejandro, Camilo",Tattoo - Remix with Camilo,Sony Music Latin/Duars Entertainment,22,100,26,6665539,regional-global-weekly-2021-01-07.csv
97,spotify:track:0GzuHFG4Ql6DoyxFRnIk3F,"Maluma, The Weeknd",Hawái - Remix,Sony Music Latin,17,119,9,6658460,regional-global-weekly-2021-01-07.csv
98,spotify:track:6Hj9jySrnFppAI0sEMCZpJ,Juice WRLD,Robbery,Grade A Productions/Interscope Records,18,121,77,6543810,regional-global-weekly-2021-01-07.csv
99,spotify:track:1K5KBOgreBi5fkEHvg5ap3,"Future, Drake",Life Is Good (feat. Drake),Epic/Freebandz,3,128,52,6525397,regional-global-weekly-2021-01-07.csv
100,spotify:track:2rRJrJEo19S2J82BDsQ3F7,Trevor Daniel,Falling,Alamo,5,113,60,6524330,regional-global-weekly-2021-01-07.csv
101,spotify:track:4HBZA5flZLE435QTztThqH,"Ariana Grande, Justin Bieber",Stuck with U (with Justin Bieber),"Ariana Grande & Justin Bieber ""Stuck With U""- Charity",2,124,35,6488444,regional-global-weekly-2021-01-07.csv
102,spotify:track:4i2qxFEVVUi8yOYoxB8TCX,Miley Cyrus,Midnight Sky,RCA Records Label,14,120,21,6475615,regional-global-weekly-2021-01-07.csv
103,spotify:track:68mrW6gXHgupgSiDHgaDi5,"Nicky Jam, Myke Towers",Polvo,Sony Music Latin,103,118,7,6465664,regional-global-weekly-2021-01-07.csv
104,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,Warner Records,7,126,41,6402262,regional-global-weekly-2021-01-07.csv
105,spotify:track:0AUvWawuP0ibk4SQ3sIZjk,Ashnikko,Daisy,Parlophone UK,45,130,16,6363064,regional-global-weekly-2021-01-07.csv
106,spotify:track:0JAZWvvqttGFm4UMDsPQXC,"Ozuna, Camilo",Despeinada,Aura Music Corp.,37,112,18,6317178,regional-global-weekly-2021-01-07.csv
107,spotify:track:5E30LdtzQTGqRvNd7l6kG5,The Neighbourhood,Daddy Issues,Columbia,107,143,13,6279512,regional-global-weekly-2021-01-07.csv
108,spotify:track:02MWAaffLxlfxAUY7c5dvx,Glass Animals,Heat Waves,Polydor Records,108,168,2,6263873,regional-global-weekly-2021-01-07.csv
109,spotify:track:0sY6ZUTh4yoctD8VIXz339,Taylor Swift,champagne problems,Taylor Swift,10,122,4,6254023,regional-global-weekly-2021-01-07.csv
110,spotify:track:2VxeLyX666F8uXCJ0dZF8B,"Lady Gaga, Bradley Cooper",Shallow,A Star is Born OST,3,132,119,6227905,regional-global-weekly-2021-01-07.csv
111,spotify:track:3eekarcy7kvN4yt5ZFzltW,Travis Scott,HIGHEST IN THE ROOM,Cactus Jack/Epic,1,129,66,6199307,regional-global-weekly-2021-01-07.csv
112,spotify:track:7kDUspsoYfLkWnZR7qwHZl,"mgk, blackbear",my ex's best friend (with blackbear),Bad Boy/Interscope Records,39,159,21,6168697,regional-global-weekly-2021-01-07.csv
113,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,Kid Ina Korner / Interscope,16,138,205,6162842,regional-global-weekly-2021-01-07.csv
114,spotify:track:2kJwzbxV2ppxnQoYw4GLBZ,"JP Saxe, Julia Michaels",If the World Was Ending (feat. Julia Michaels),Arista Records,38,154,60,6157557,regional-global-weekly-2021-01-07.csv
115,spotify:track:5rZlwNFl01HqLWBQGryKSm,"Pop Smoke, Lil Tjay",Mood Swings (feat. Lil Tjay),Victor Victor Worldwide,12,135,27,6082165,regional-global-weekly-2021-01-07.csv
116,spotify:track:7FIWs0pqAYbP91WWM0vlTQ,"Eminem, Juice WRLD",Godzilla (feat. Juice WRLD),Shady/Aftermath/Interscope Records,4,140,51,6069594,regional-global-weekly-2021-01-07.csv
117,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,Bad Vibes Forever / EMPIRE,7,146,175,6052271,regional-global-weekly-2021-01-07.csv
118,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,7,163,208,6042296,regional-global-weekly-2021-01-07.csv
119,spotify:track:4Lt6GXGzYsa1tgkv3nGSTm,"Jason Derulo, Nuka",Love Not War (The Tampa Beat),Robots & Humans,119,167,2,6023125,regional-global-weekly-2021-01-07.csv
120,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,Juice WRLD Mixtape / ISR P&D,48,148,72,5957526,regional-global-weekly-2021-01-07.csv
121,spotify:track:57VeLYXrvNxe8Vs18K2M9W,"Jack Harlow, Big Sean",Way Out (feat. Big Sean),Generation Now/Atlantic,121,166,4,5939805,regional-global-weekly-2021-01-07.csv
122,spotify:track:1ZMiCix7XSAbfAJlEZWMCp,Harry Styles,Falling,Columbia,29,175,55,5919943,regional-global-weekly-2021-01-07.csv
123,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,Doja Cat,Say So,Kemosabe Records/RCA Records,6,139,52,5875706,regional-global-weekly-2021-01-07.csv
124,spotify:track:2tnVG71enUj33Ic2nFN6kZ,Regard,Ride It,Ministry of Sound Recordings,12,136,70,5865458,regional-global-weekly-2021-01-07.csv
125,spotify:track:4umIPjkehX1r7uhmGvXiSV,"Justin Bieber, Quavo",Intentions (feat. Quavo),RBMG/Def Jam,5,155,47,5856956,regional-global-weekly-2021-01-07.csv
126,spotify:track:6EDO9iiTtwNv6waLwa1UUq,"DJ Khaled, Drake",POPSTAR (feat. Drake),OVO/We The Best/Epic,7,158,25,5840371,regional-global-weekly-2021-01-07.csv
127,spotify:track:4SFknyjLcyTLJFPKD2m96o,BLACKPINK,How You Like That,YG Entertainment/Interscope Records,4,145,28,5822785,regional-global-weekly-2021-01-07.csv
128,spotify:track:1FP9s72rDYty6mfoOEYKnE,"Robin Schulz, KIDDO",All We Got (feat. KIDDO),WM Germany,128,178,2,5787561,regional-global-weekly-2021-01-07.csv
129,spotify:track:3w1WjD2zJqjBjDz5fwqQPJ,Jack Harlow,Tyler Herro,Generation Now/Atlantic,62,170,10,5786064,regional-global-weekly-2021-01-07.csv
130,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,Atlantic Records UK,4,161,199,5761967,regional-global-weekly-2021-01-07.csv
131,spotify:track:79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,Dior,Victor Victor Worldwide/Republic Records,40,152,42,5758015,regional-global-weekly-2021-01-07.csv
132,spotify:track:3lCbsHaN1wCxyDzcNN2x4N,"Migrantes, Alico",Si Me Tomo Una Cerveza,LEB Records,132,133,6,5756943,regional-global-weekly-2021-01-07.csv
133,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,Republic Records,1,147,101,5748801,regional-global-weekly-2021-01-07.csv
134,spotify:track:2JTir3y1VuJQmexiTCMcTP,Os Barões Da Pisadinha,Recairei - Ao Vivo,Sony Music Entertainment,117,117,9,5705840,regional-global-weekly-2021-01-07.csv
135,spotify:track:6bvfJf4KjonPMuPfGfy3S2,"Nio Garcia, Anuel AA, Myke Towers, Brray, Juanka",La Jeepeta - Remix,"Flow La Movie, Inc.",13,137,34,5690468,regional-global-weekly-2021-01-07.csv
136,spotify:track:466cKvZn1j45IpxDdYZqdA,Drake,Toosie Slide,OVO,2,141,40,5683821,regional-global-weekly-2021-01-07.csv
137,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,Atlantic Records UK,1,160,206,5679328,regional-global-weekly-2021-01-07.csv
138,spotify:track:6fmQjRuo7XvRFCK2qex5hQ,Jerry Di,Mi Cuarto,Nacho,47,144,20,5679190,regional-global-weekly-2021-01-07.csv
139,spotify:track:48q0vSHcJdhK3IiXH8C5WJ,Arctic Monkeys,Why'd You Only Call Me When You're High?,Domino Recording Co,139,184,2,5670492,regional-global-weekly-2021-01-07.csv
140,spotify:track:0ZLuW8uOXdFNWcI40C0OC2,"Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",Generation Now/Atlantic,15,174,27,5649723,regional-global-weekly-2021-01-07.csv
141,spotify:track:62aP9fBQKYKxi7PDXwcUAS,"Surf Mesa, Emilee",ily (i love you baby) (feat. Emilee),Astralwerks,9,157,40,5639647,regional-global-weekly-2021-01-07.csv
142,spotify:track:2kS6td1yvmpNgZTt1q5pQq,Mother Mother,Hayloft,Last Gang,142,200,2,5623265,regional-global-weekly-2021-01-07.csv
143,spotify:track:696DnlkuDOXcMAnKlTgXXK,Arizona Zervas,ROXANNE,Arizona Zervas,2,156,62,5616081,regional-global-weekly-2021-01-07.csv
144,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody - Remastered 2011,EMI,11,142,121,5586330,regional-global-weekly-2021-01-07.csv
145,spotify:track:0YqTL3nSL36OFdHwHoqCag,"Luísa Sonza, Pabllo Vittar, Anitta",MODO TURBO,Universal Music Ltda.,108,108,2,5581213,regional-global-weekly-2021-01-07.csv
146,spotify:track:6HlE9t71z9DjGi7KqSyEpA,Fousheé,Deep End,Not specified,67,162,12,5491510,regional-global-weekly-2021-01-07.csv
147,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,Billie Eilish,everything i wanted,Darkroom/Interscope Records,2,176,60,5448225,regional-global-weekly-2021-01-07.csv
148,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,Cactus Jack / Epic,2,172,126,5334929,regional-global-weekly-2021-01-07.csv
149,spotify:track:5yUzqd3H7cmJ1no6B4uTzu,Apache 207,Angst,Four Music/Two Sides,149,-1,1,5317174,regional-global-weekly-2021-01-07.csv
150,spotify:track:3rq5w4bQGigXOfdN30ATJt,Arctic Monkeys,Do I Wanna Know?,Domino Recording Co,150,193,2,5312115,regional-global-weekly-2021-01-07.csv
151,spotify:track:6sPBi0qLI6KM3yXX56NxsA,Tarcísio do Acordeon,Meia Noite (Você tem meu Whatsapp),Sua Música,151,153,2,5299418,regional-global-weekly-2021-01-07.csv
152,spotify:track:0XinBYhf1X3kdvKQHOX971,"C. Tangana, Niño de Elche, La Húngara",Tú Me Dejaste De Querer,Sony Music Entertainment,42,150,9,5256783,regional-global-weekly-2021-01-07.csv
