rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams,source_file
1,spotify:track:5aAx2yezTd8zXrkmtKl66Z,"The Weeknd, Daft Punk",Starboy,The Weeknd/Lyric,1,1,2,25734078,regional-global-weekly-2017-01-05.csv
2,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,"The Chainsmokers, Halsey",Closer,Disruptor Records/Columbia,2,2,2,23519705,regional-global-weekly-2017-01-05.csv
3,spotify:track:5knuzwU65gJK7IF5yJsuaW,"Clean Bandit, Anne-Marie, Sean Paul",Rockabye (feat. Sean Paul & Anne-Marie),Atlantic Records UK,3,3,2,21216399,regional-global-weekly-2017-01-05.csv
4,spotify:track:4pdPtRcBmOSQDlJ3Fk945m,"DJ Snake, Justin Bieber",Let Me Love You,DJ Snake Def Jam,4,4,2,19852704,regional-global-weekly-2017-01-05.csv
5,spotify:track:3NdDpSvN911VPGivFlV5d0,"ZAYN, Taylor Swift",I Don’t Wanna Live Forever (Fifty Shades Darker),Taylor Swift,5,7,2,18316326,regional-global-weekly-2017-01-05.csv
6,spotify:track:5MFzQMkrl1FOOng9tq6R9r,"Maroon 5, Kendrick Lamar",Don't Wanna Know,Interscope Records*,5,5,2,18064374,regional-global-weekly-2017-01-05.csv
7,spotify:track:343YBumqHu19cGoGARUTsd,Drake,Fake Love,Cash Money Records/Young Money Ent./Universal Rec.,7,8,2,17037036,regional-global-weekly-2017-01-05.csv
8,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Won't Let Go,Columbia,8,10,2,16950854,regional-global-weekly-2017-01-05.csv
9,spotify:track:6b8Be6ljOzmkOmFslEb23P,Bruno Mars,24K Magic,Atlantic Records,9,9,2,16736035,regional-global-weekly-2017-01-05.csv
10,spotify:track:5GXAXm5YOmYT0kL5jHvYBt,"The Weeknd, Daft Punk",I Feel It Coming,The Weeknd/Lyric,10,12,2,16609685,regional-global-weekly-2017-01-05.csv
11,spotify:track:6fujklziTHa8uoM5OQSfIo,"Rae Sremmurd, Gucci Mane",Black Beatles,Mike WiLL Made-It,6,6,2,16130702,regional-global-weekly-2017-01-05.csv
12,spotify:track:1xznGGDReH1oQq0xzbwXa3,"Drake, Wizkid, Kyla",One Dance,Cash Money Records/Young Money Ent./Universal Rec.,12,13,2,15958402,regional-global-weekly-2017-01-05.csv
13,spotify:track:6mICuAdrwEjh6Y6lroV2Kg,"Shakira, Maluma",Chantaje (feat. Maluma),Sony Music Latin,13,18,2,14458068,regional-global-weekly-2017-01-05.csv
14,spotify:track:6DNtNfH8hXkqOX1sjqmI7p,"Major Lazer, Justin Bieber, MØ",Cold Water,Mad Decent PS (Bieber/Major Lazer),14,14,2,14278458,regional-global-weekly-2017-01-05.csv
15,spotify:track:78rIJddV4X0HkNAInEcYde,"Starley, Ryan Riback",Call on Me - Ryan Riback Remix,Central Station Records,15,17,2,14030444,regional-global-weekly-2017-01-05.csv
16,spotify:track:04DwTuZ2VBdJCCC5TROn7L,"Martin Garrix, Bebe Rexha",In the Name of Love,Epic Amsterdam,16,16,2,13936848,regional-global-weekly-2017-01-05.csv
17,spotify:track:4Km5HrUvYTaSUfiSGPJeQR,"Migos, Lil Uzi Vert",Bad and Boujee (feat. Lil Uzi Vert),Quality Control Music,17,23,2,13030993,regional-global-weekly-2017-01-05.csv
18,spotify:track:4pLwZjInHj3SimIyN9SnOz,"Ariana Grande, Nicki Minaj",Side To Side,Universal Records,18,19,2,12802756,regional-global-weekly-2017-01-05.csv
19,spotify:track:3EmmCZoqpWOTY1g2GBwJoR,"Steve Aoki, Louis Tomlinson",Just Hold On,"Ultra Records, LLC",19,20,2,12713391,regional-global-weekly-2017-01-05.csv
20,spotify:track:1qOLh0tI7trd1zdDKxYZTe,"Hailee Steinfeld, Grey, Zedd",Starving,UME - Global Clearing House,20,22,2,11678776,regional-global-weekly-2017-01-05.csv
21,spotify:track:1PSBzsahR2AKwLJgx8ehBj,"mgk, Camila Cabello",Bad Things (with Camila Cabello),Bad Boy / Interscope,21,24,2,11496707,regional-global-weekly-2017-01-05.csv
22,spotify:track:4TZy1wLyHec06pwgFYDh1a,Shawn Mendes,Mercy,Island Records,22,25,2,11257008,regional-global-weekly-2017-01-05.csv
23,spotify:track:1vvNmPOiUuyCbgWmtc6yfm,Calvin Harris,My Way,Columbia,23,26,2,11099145,regional-global-weekly-2017-01-05.csv
24,spotify:track:2rizacJSyD9S1IQUxUxnsK,"The Chainsmokers, Phoebe Ryan",All We Know,Disruptor Records/Columbia,24,28,2,11002831,regional-global-weekly-2017-01-05.csv
25,spotify:track:0QsvXIfqM0zZoerQfsI9lm,"The Chainsmokers, Daya",Don't Let Me Down,Disruptor Records/Columbia,25,29,2,10662121,regional-global-weekly-2017-01-05.csv
26,spotify:track:4Hf7WnR761jpxPr5D46Bcd,Shawn Mendes,Treat You Better,Island Records,26,30,2,10655487,regional-global-weekly-2017-01-05.csv
27,spotify:track:6i0V12jOa3mr6uu4WYhUBr,Twenty One Pilots,Heathens,Atlantic Records,27,27,2,10591337,regional-global-weekly-2017-01-05.csv
28,spotify:track:6JV2JOEocMgcZxYSZelKcc,Justin Timberlake,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Villa 40/RCA Records,28,35,2,10147451,regional-global-weekly-2017-01-05.csv
29,spotify:track:0prNGof3XqfTvNDxHonvdK,Alessia Cara,Scars To Your Beautiful,"EP Entertainment, LLC / Def Jam",29,31,2,9456847,regional-global-weekly-2017-01-05.csv
30,spotify:track:4b4KcovePX8Ke2cLIQTLM0,"The Vamps, Matoma",All Night,EMI,30,34,2,9219626,regional-global-weekly-2017-01-05.csv
31,spotify:track:27SdWb2rFzO6GWiYDBTD9j,Sia,Cheap Thrills,Monkey Puzzle Records/RCA Records,31,46,2,9085236,regional-global-weekly-2017-01-05.csv
32,spotify:track:08WPvDEsHvTFuB9w8tC2OS,Sage The Gemini,Now and Later,Global Gemini,32,36,2,8963739,regional-global-weekly-2017-01-05.csv
33,spotify:track:6nxQdXa1uAL0rY72wPZu89,John Legend,Love Me Now,Columbia,33,33,2,8876988,regional-global-weekly-2017-01-05.csv
